transactionid,transactiondate,customerid,productid,storeid,campaignid,totalamount,quantitysold,paymentmethod,salesrepresentative,unit_price
1120,2024-04-11,1346,2048,403,0,842.13,3,Cash,L. Martinez,280.71
1121,2024-06-17,1018,2113,402,0,646.14,2,PayPal,S. Patel,323.07
1122,2024-05-23,1270,2008,404,4,1971.5,2,Apple Pay,A. Torres,985.75
1124,2025-08-15,1099,2034,405,0,331.92,3,PayPal,J. Alvarez,110.64
1125,2024-04-13,1213,2010,405,4,1648.63,1,Apple Pay,J. Alvarez,1648.63
1126,2025-01-05,1018,2046,403,2,198.58,1,Credit Card,K. Nguyen,198.58
1127,2025-11-08,1035,2060,402,0,1671.81,3,Apple Pay,K. Nguyen,557.27
1128,2024-03-21,1010,2118,403,3,1112.28,3,Cash,M. Chen,370.76
1129,2025-04-29,1004,2093,403,2,829.96,4,Cash,K. Nguyen,207.49
1130,2024-12-22,1111,2050,402,0,717.66,3,Cash,L. Martinez,239.22
1131,2025-05-28,1028,2052,401,0,626.31,3,PayPal,D. Williams,208.76999999999998
1133,2025-08-08,1316,2074,402,4,4114.74,3,Debit Card,M. Chen,1371.58
1134,2025-03-31,1003,2065,402,4,2745.81,3,PayPal,A. Torres,915.27
1135,2024-11-23,1201,2021,404,3,4912.65,3,Cash,D. Williams,1637.55
1136,2024-07-07,1050,2073,404,1,727.71,1,PayPal,S. Patel,727.71
1137,2024-08-03,1295,2020,404,3,3880.26,3,Debit Card,J. Alvarez,1293.42
1138,2025-05-05,1026,2114,403,0,993.99,3,Cash,L. Martinez,331.33
1139,2025-02-14,1055,2016,403,0,2531.46,2,Credit Card,M. Chen,1265.73
1140,2025-11-12,1023,2029,401,0,5015.28,3,PayPal,A. Torres,1671.76
1141,2025-06-02,1004,2011,405,0,984.8,1,Credit Card,J. Alvarez,984.8
1142,2024-11-02,1106,2088,404,2,1319.19,1,Cash,J. Alvarez,1319.19
1143,2025-11-14,1271,2039,405,0,672.12,4,Credit Card,R. Johnson,168.03
1144,2025-08-03,1062,2028,402,0,4253.46,3,Debit Card,S. Patel,1417.82
1145,2024-04-28,1037,2005,404,4,1834.46,1,PayPal,A. Torres,1834.46
1146,2024-12-05,1062,2082,404,3,4929.44,4,Credit Card,S. Patel,1232.36
1147,2025-10-09,1059,2082,401,2,3697.08,3,Debit Card,R. Johnson,1232.36
1148,2024-02-25,1124,2059,402,0,496.16,4,Apple Pay,D. Williams,124.04
1149,2024-02-07,1202,2098,402,0,1423.11,3,Debit Card,S. Patel,474.36999999999995
1150,2025-01-31,1059,2019,404,0,6610.24,4,PayPal,J. Alvarez,1652.56
1151,2025-06-17,1289,2010,404,1,4945.89,3,PayPal,D. Williams,1648.63
1152,2024-09-13,1362,2103,402,1,821.36,2,Credit Card,R. Johnson,410.68
1153,2025-05-07,1060,2054,402,0,396.2,4,Cash,M. Chen,99.05
1154,2024-12-08,1024,2066,402,0,1148.82,2,Credit Card,K. Nguyen,574.41
1155,2024-06-21,1022,2004,402,2,1315.49,1,Credit Card,M. Chen,1315.49
1156,2024-10-22,1049,2084,401,2,3892.36,4,Credit Card,L. Martinez,973.09
1158,2024-11-03,1343,2044,403,1,843.9,3,Credit Card,J. Alvarez,281.3
1159,2025-07-19,1058,2052,401,0,417.54,2,Apple Pay,A. Torres,208.77
1160,2025-11-08,1352,2045,404,0,552.77,2,Debit Card,K. Nguyen,276.385
1161,2025-07-08,1046,2026,404,0,3958.11,3,Cash,J. Alvarez,1319.3700000000001
1162,2025-06-19,1345,2049,401,0,810.12,3,Apple Pay,S. Patel,270.04
1163,2024-08-31,1216,2032,401,1,724.32,3,Cash,D. Williams,241.44000000000003
1164,2024-05-26,1044,2004,403,0,5261.96,4,Credit Card,S. Patel,1315.49
1165,2024-05-10,1023,2100,402,2,187.29,1,Debit Card,J. Alvarez,187.29
1166,2025-04-18,1062,2029,405,2,1450.36,1,Apple Pay,D. Williams,1450.36
1167,2024-07-29,1201,2015,404,4,4347.48,3,Credit Card,J. Alvarez,1449.1599999999999
1168,2025-05-18,1289,2087,401,3,5792.12,4,Debit Card,S. Patel,1448.03
1170,2024-12-15,1034,2004,403,2,3946.47,3,Apple Pay,M. Chen,1315.49
1172,2024-02-02,1016,2008,405,0,1159.15,1,Credit Card,M. Chen,1159.15
1173,2024-12-19,1055,2116,403,0,1927.28,4,Apple Pay,J. Alvarez,481.82
1174,2025-10-21,1283,2000,401,4,3232.59,3,Cash,A. Torres,1077.53
1175,2025-11-09,1025,2075,404,3,2931.63,3,Cash,L. Martinez,977.21
1176,2024-01-04,1023,2075,404,0,3908.84,4,Cash,M. Chen,977.21
1177,2024-05-16,1098,2019,402,3,1428.52,1,Credit Card,A. Torres,1428.52
1178,2024-06-03,1395,2092,402,0,677.68,2,Cash,A. Torres,338.84
1179,2025-05-03,1346,2047,402,2,111.15,1,Debit Card,K. Nguyen,111.15
1180,2024-09-19,1009,2048,405,1,561.42,2,Cash,J. Alvarez,280.71
1181,2024-06-15,1346,2028,403,1,5671.28,4,Credit Card,A. Torres,1417.82
1182,2025-11-20,1159,2027,402,0,6847.24,4,PayPal,J. Alvarez,1711.81
1183,2025-06-27,1215,2048,401,3,561.42,2,Cash,J. Alvarez,280.71
1184,2025-07-10,1010,2017,404,3,4570.58,7,Cash,M. Chen,652.9399999999999
1185,2024-07-09,1381,2007,404,3,3282.16,2,Apple Pay,S. Patel,1641.08
1186,2024-01-06,1043,2102,405,0,441.6,2,Debit Card,K. Nguyen,220.8
1187,2025-10-10,1059,2004,404,1,2630.98,2,PayPal,L. Martinez,1315.49
1188,2024-03-06,1154,2070,403,0,4430.22,4,PayPal,A. Torres,1107.555
1189,2024-01-17,1138,2089,402,0,1155.02,2,Cash,K. Nguyen,577.51
1190,2025-06-19,1395,2100,403,2,818.7,5,PayPal,D. Williams,163.74
1191,2025-09-08,1073,2090,403,2,1200.78,3,Debit Card,R. Johnson,400.26
1192,2024-04-27,1154,2067,403,0,4022.1,3,PayPal,M. Chen,1340.7
1193,2025-09-12,1023,2054,405,4,205.09,2,Credit Card,M. Chen,102.545
1194,2025-08-21,1058,2020,404,2,1293.42,1,PayPal,D. Williams,1293.42
1196,2024-05-29,1098,2013,402,3,2819.26,2,Debit Card,A. Torres,1409.63
1197,2024-05-29,1036,2074,401,3,1205.68,1,Credit Card,D. Williams,1205.68
1198,2025-01-16,1005,2104,401,3,1484.61,3,Debit Card,R. Johnson,494.86999999999995
1199,2025-05-24,1026,2113,403,4,323.07,1,PayPal,D. Williams,323.07
1200,2025-01-24,1114,2012,404,0,2735.08,4,Apple Pay,R. Johnson,683.77
1201,2024-09-27,1050,2044,405,0,562.6,2,Cash,R. Johnson,281.3
1202,2024-04-08,1000,2057,401,0,740.58,3,Cash,M. Chen,246.86
1203,2024-11-14,1289,2097,403,1,1163.94,3,Debit Card,A. Torres,387.98
1204,2024-10-21,1006,2075,405,0,977.21,1,PayPal,K. Nguyen,977.21
1205,2024-02-08,1049,2086,405,0,863.38,1,PayPal,J. Alvarez,863.38
1206,2025-03-02,1026,2002,403,2,5875.48,4,Debit Card,M. Chen,1468.87
1207,2024-11-23,1154,2014,404,4,3150.3,3,Cash,S. Patel,1050.1000000000001
1208,2025-02-16,1111,2036,402,0,509.26,2,Debit Card,D. Williams,254.63
1209,2025-07-20,1010,2094,404,4,1617.36,4,Cash,L. Martinez,404.34
1210,2025-08-26,1277,2061,403,0,1322.77,1,PayPal,J. Alvarez,1322.77
1211,2025-04-11,1334,2033,403,1,1199.96,4,Credit Card,R. Johnson,299.99
1212,2024-12-17,1057,2010,401,0,1648.63,1,Apple Pay,S. Patel,1648.63
1213,2024-11-10,1071,2076,401,0,5025.56,4,Cash,L. Martinez,1256.39
1214,2025-01-07,1213,2015,404,2,1449.16,1,Debit Card,M. Chen,1449.16
1215,2024-04-10,1024,2023,404,1,3655.94,2,Credit Card,K. Nguyen,1827.97
1216,2024-05-03,1009,2033,405,1,899.97,3,PayPal,R. Johnson,299.99
1217,2025-05-27,1008,2016,405,0,7594.38,6,PayPal,R. Johnson,1265.73
1218,2025-09-07,1207,2103,403,4,1642.72,4,Apple Pay,M. Chen,410.68
1219,2025-05-07,1015,2036,401,4,1018.52,4,PayPal,M. Chen,254.63
1220,2024-10-11,1071,2089,404,0,2460.08,4,Cash,K. Nguyen,615.02
1221,2024-03-14,1029,2012,404,3,1367.54,2,Cash,D. Williams,683.77
1222,2024-08-24,1346,2104,403,0,462.26,1,Credit Card,M. Chen,462.26
1223,2025-09-19,1050,2010,402,2,6594.52,4,Credit Card,D. Williams,1648.63
1224,2025-10-22,1254,2018,401,2,1025.38,1,Cash,S. Patel,1025.38
1225,2025-11-12,1124,2040,405,2,815.52,4,Apple Pay,M. Chen,203.88
1227,2024-07-01,1106,2063,401,1,1261.9,1,Apple Pay,J. Alvarez,1261.9
1228,2025-03-16,1270,2060,402,3,2229.08,4,Apple Pay,M. Chen,557.27
1229,2024-10-25,1009,2021,405,2,1530.84,1,Apple Pay,L. Martinez,1530.84
1230,2024-03-10,1036,2033,403,1,1199.96,4,Debit Card,R. Johnson,299.99
1231,2025-10-11,1058,2099,404,4,3980.4,8,Apple Pay,S. Patel,497.55
1232,2024-06-13,1201,2027,405,2,1711.81,1,Debit Card,S. Patel,1711.81
1233,2025-11-01,1046,2029,405,1,6687.04,4,Credit Card,K. Nguyen,1671.76
1234,2025-11-19,1027,2052,402,0,835.08,4,Apple Pay,M. Chen,208.77
1235,2025-10-01,1028,2063,402,0,3785.7,3,Cash,D. Williams,1261.8999999999999
1236,2024-06-28,1048,2009,403,3,1074.38,1,Debit Card,R. Johnson,1074.38
1238,2024-10-17,1028,2066,404,2,1148.82,2,Apple Pay,J. Alvarez,574.41
1239,2025-04-07,1018,2052,405,2,417.54,2,PayPal,A. Torres,208.77
1240,2024-03-15,1004,2045,402,0,885.63,3,Apple Pay,L. Martinez,295.21
1241,2024-09-15,1154,2041,404,2,328.47,3,Debit Card,D. Williams,109.49000000000001
1242,2025-04-18,1024,2034,403,0,442.56,4,Cash,S. Patel,110.64
1243,2024-11-18,1254,2014,404,0,1050.1,1,Cash,R. Johnson,1050.1
1244,2025-11-13,1155,2034,405,0,102.43,1,Debit Card,J. Alvarez,102.43
1245,2025-11-12,1104,2027,402,2,5135.43,3,Credit Card,L. Martinez,1711.8100000000002
1246,2024-12-01,1032,2028,405,2,5247.24,4,Cash,J. Alvarez,1311.81
1247,2024-11-28,1289,2085,405,1,2096.44,2,Credit Card,A. Torres,1048.22
1248,2024-12-02,1053,2032,402,0,482.88,2,Credit Card,S. Patel,241.44
1249,2024-04-26,1029,2097,402,0,775.96,2,Credit Card,R. Johnson,387.98
1250,2025-10-17,1001,2004,404,1,2630.98,2,Credit Card,R. Johnson,1315.49
1251,2024-04-25,1021,2006,404,3,3731.14,2,Apple Pay,M. Chen,1865.57
1252,2024-12-21,1036,2019,405,3,1652.56,1,Credit Card,R. Johnson,1652.56
1253,2025-11-01,1029,2017,402,2,1239.52,2,Cash,S. Patel,619.76
1254,2024-04-20,1034,2067,405,4,2681.4,2,Debit Card,K. Nguyen,1340.7
1255,2024-06-06,1024,2082,404,3,4929.44,4,PayPal,M. Chen,1232.36
1256,2025-06-17,1036,2072,403,4,1625.58,2,PayPal,M. Chen,812.79
1257,2025-04-11,1316,2085,403,3,3275.19,3,PayPal,D. Williams,1091.73
1258,2024-09-04,1049,2076,401,3,2512.78,2,Cash,J. Alvarez,1256.39
1259,2024-10-15,1004,2024,403,3,4790.96,4,PayPal,S. Patel,1197.74
1260,2025-08-31,1007,2072,402,4,1493.28,2,Credit Card,D. Williams,746.64
1261,2024-01-16,1213,2042,404,3,202.84,1,Apple Pay,D. Williams,202.84
1262,2024-01-02,1033,2091,402,0,1353.63,3,Debit Card,R. Johnson,451.21000000000004
1263,2024-09-06,1024,2111,401,3,1744.16,8,PayPal,M. Chen,218.02
1264,2024-09-01,1254,2026,404,2,1319.37,1,Debit Card,L. Martinez,1319.37
1265,2024-07-27,1036,2066,401,4,1723.23,3,Cash,M. Chen,574.41
1266,2024-02-02,1213,2035,401,1,186.04,1,Credit Card,D. Williams,186.04
1267,2025-02-18,1029,2031,404,1,696.92,4,Credit Card,K. Nguyen,174.23
1268,2025-03-03,1394,2008,404,0,4636.6,4,Cash,R. Johnson,1159.15
1269,2025-05-06,1003,2030,404,3,1015.45,7,Cash,L. Martinez,145.06428571428572
1270,2024-03-23,1055,2014,402,0,3150.3,3,Credit Card,R. Johnson,1050.1000000000001
1271,2024-03-04,1275,2061,405,0,1322.77,1,Apple Pay,D. Williams,1322.77
1272,2024-11-20,1098,2107,401,0,654.68,4,Apple Pay,K. Nguyen,163.67
1273,2025-11-14,1046,2027,401,0,3148.1,2,PayPal,S. Patel,1574.05
1274,2025-09-04,1040,2057,402,0,858.48,3,PayPal,A. Torres,286.16
1275,2024-06-02,1106,2050,405,4,956.88,4,Credit Card,R. Johnson,239.22
1276,2025-11-24,1025,2033,405,0,1079.07,4,Credit Card,L. Martinez,269.7675
1277,2025-07-25,1106,2009,402,2,3223.14,3,Debit Card,M. Chen,1074.3799999999999
1278,2025-08-29,1316,2078,403,3,3474.75,3,Apple Pay,K. Nguyen,1158.25
1279,2025-09-25,1124,2057,403,4,858.48,3,PayPal,R. Johnson,286.16
1280,2025-11-14,1010,2006,405,2,5596.71,3,Debit Card,L. Martinez,1865.57
1281,2025-04-19,1032,2038,405,0,452.6,3,Debit Card,D. Williams,150.86666666666667
1282,2024-12-07,1202,2076,404,0,5025.56,4,PayPal,A. Torres,1256.39
1284,2024-01-10,1004,2053,401,0,214.3,2,Debit Card,K. Nguyen,107.15
1285,2024-02-09,1104,2014,401,0,2100.2,2,Apple Pay,D. Williams,1050.1
1287,2024-03-07,1009,2073,402,4,2183.13,3,PayPal,R. Johnson,727.71
1288,2025-07-27,1072,2053,403,3,214.3,2,Debit Card,D. Williams,107.15
1290,2025-11-05,1098,2046,403,2,595.74,3,Cash,R. Johnson,198.58
1292,2025-01-23,1006,2060,402,2,1525.8,3,Debit Card,D. Williams,508.59999999999997
1293,2025-03-07,1382,2014,404,0,2968.01,3,Cash,S. Patel,989.3366666666667
1294,2025-06-11,1071,2119,401,2,485.05,1,Debit Card,J. Alvarez,485.05
1295,2025-09-22,1049,2018,401,0,1025.38,1,Cash,S. Patel,1025.38
1296,2024-02-18,1355,2035,403,1,331.09,2,Debit Card,J. Alvarez,165.545
1297,2025-05-03,1071,2101,404,3,2153.16,6,Apple Pay,J. Alvarez,358.85999999999996
1298,2025-11-22,1099,2074,404,0,5486.32,4,Cash,J. Alvarez,1371.58
1299,2024-04-16,1213,2087,402,3,1448.03,1,Debit Card,A. Torres,1448.03
1300,2025-09-05,1026,2055,404,3,445.98,2,Credit Card,L. Martinez,222.99
1302,2024-12-20,1046,2016,405,0,5062.92,4,Credit Card,J. Alvarez,1265.73
1303,2025-11-15,1305,2098,404,0,1897.48,4,Debit Card,J. Alvarez,474.37
1304,2024-01-29,1037,2025,402,0,1073.11,1,Apple Pay,L. Martinez,1073.11
1305,2025-06-20,1334,2045,402,2,885.63,3,Debit Card,J. Alvarez,295.21
1306,2024-12-01,1162,2022,403,0,4477.35,3,Debit Card,L. Martinez,1492.45
1307,2025-10-01,1049,2073,401,0,635.69,1,Apple Pay,L. Martinez,635.69
1308,2024-03-15,1221,2005,404,2,5503.38,3,Cash,M. Chen,1834.46
1309,2025-11-06,1070,2061,401,4,4798.15,4,PayPal,L. Martinez,1199.5375
1311,2024-12-08,1362,2021,401,3,4912.65,3,Apple Pay,S. Patel,1637.55
1313,2024-10-05,1000,2011,404,0,3573.76,4,Apple Pay,S. Patel,893.44
1314,2024-12-13,1302,2000,402,0,3232.59,3,Credit Card,M. Chen,1077.53
1315,2025-01-24,1334,2069,401,1,5082.76,4,Apple Pay,S. Patel,1270.69
1316,2025-07-19,1049,2026,404,2,1319.37,1,PayPal,R. Johnson,1319.37
1317,2024-07-30,1104,2002,405,2,1468.87,1,Apple Pay,D. Williams,1468.87
1318,2025-11-09,1353,2070,402,4,4860.6,4,Apple Pay,D. Williams,1215.15
1319,2024-12-25,1062,2000,404,0,2853.34,3,PayPal,R. Johnson,951.1133333333333
1320,2024-01-03,1048,2055,401,0,891.96,4,Cash,J. Alvarez,222.99
1321,2025-06-13,1001,2048,402,0,561.42,2,PayPal,J. Alvarez,280.71
1322,2025-11-01,1154,2020,403,1,1293.42,1,Cash,L. Martinez,1293.42
1323,2024-02-11,1034,2118,404,0,1112.28,3,Cash,A. Torres,370.76
1324,2024-11-06,1269,2059,405,2,372.12,3,Debit Card,R. Johnson,124.04
1325,2025-11-26,1257,2096,402,1,506.24,2,Credit Card,R. Johnson,253.12
1326,2025-05-17,1027,2038,402,0,336.02,2,Apple Pay,A. Torres,168.01
1327,2025-08-05,1015,2114,401,0,993.99,3,Cash,J. Alvarez,331.33
1328,2024-04-04,1025,2046,405,4,397.16,2,Cash,S. Patel,198.58
1329,2025-11-03,1046,2079,404,2,3442.41,3,Apple Pay,R. Johnson,1147.47
1330,2025-11-04,1042,2117,401,0,735.52,4,PayPal,K. Nguyen,183.88
1332,2025-07-19,1064,2024,401,1,3593.22,3,Credit Card,A. Torres,1197.74
1333,2024-01-18,1034,2063,401,3,2523.8,2,Credit Card,A. Torres,1261.9
1334,2025-11-21,1046,2028,405,0,2835.64,2,Credit Card,S. Patel,1417.82
1335,2025-04-17,1033,2067,402,0,1159.13,1,Credit Card,D. Williams,1159.13
1336,2025-09-16,1289,2017,401,0,1305.88,2,Debit Card,M. Chen,652.94
1337,2025-03-21,1042,2059,405,0,496.16,4,Cash,S. Patel,124.04
1338,2024-07-17,1099,2036,405,0,254.63,1,Cash,L. Martinez,254.63
1339,2024-11-12,1058,2016,401,3,3797.19,3,Apple Pay,J. Alvarez,1265.73
1340,2024-08-29,1060,2065,401,1,1675.8,2,Debit Card,S. Patel,837.9
1341,2025-05-09,1106,2030,402,0,474.63,3,Credit Card,R. Johnson,158.21
1342,2025-01-04,1316,2079,401,4,2294.94,2,Apple Pay,M. Chen,1147.47
1343,2024-05-06,1202,2117,401,0,367.76,2,Cash,S. Patel,183.88
1344,2025-11-24,1037,2011,404,0,984.8,1,Debit Card,J. Alvarez,984.8
1345,2025-07-15,1074,2042,405,1,202.84,1,Apple Pay,D. Williams,202.84
1346,2025-06-05,1270,2104,404,0,1484.61,3,Debit Card,A. Torres,494.86999999999995
1347,2024-07-13,1111,2032,404,0,241.44,1,Apple Pay,D. Williams,241.44
1348,2025-09-28,1072,2056,402,4,355.12,2,PayPal,R. Johnson,177.56
1349,2024-05-13,1202,2050,405,3,717.66,3,Apple Pay,D. Williams,239.22
1350,2024-05-09,1025,2103,401,0,1642.72,4,Debit Card,J. Alvarez,410.68
1351,2025-02-10,1279,2010,403,0,6594.52,4,PayPal,J. Alvarez,1648.63
1352,2024-04-03,1040,2028,401,0,5671.28,4,Credit Card,L. Martinez,1417.82
1353,2025-10-22,1071,2078,404,0,1158.25,1,Debit Card,M. Chen,1158.25
1354,2024-01-09,1028,2102,403,0,441.6,2,Apple Pay,R. Johnson,220.8
1355,2025-09-09,1384,2043,401,0,307.74,3,PayPal,S. Patel,102.58
1356,2024-10-26,1035,2057,404,2,1144.64,4,Cash,J. Alvarez,286.16
1357,2024-05-19,1155,2102,401,0,883.2,4,Credit Card,K. Nguyen,220.8
1358,2025-11-17,1041,2028,402,0,2835.64,2,Debit Card,S. Patel,1417.82
1359,2025-04-17,1007,2028,401,1,3693.01,3,Apple Pay,M. Chen,1231.0033333333333
1360,2025-03-01,1009,2001,402,1,4681.74,3,Credit Card,R. Johnson,1560.58
1362,2025-06-25,1062,2003,401,3,1968.76,1,Apple Pay,A. Torres,1968.76
1363,2024-12-05,1070,2065,405,0,915.27,1,Apple Pay,S. Patel,915.27
1364,2024-11-01,1248,2084,404,0,973.09,1,Cash,J. Alvarez,973.09
1365,2024-07-20,1334,2075,403,4,1954.42,2,Credit Card,K. Nguyen,977.21
1366,2025-11-20,1032,2056,404,4,355.12,2,Cash,R. Johnson,177.56
1367,2025-05-31,1068,2009,405,2,4297.52,4,Cash,S. Patel,1074.38
1368,2024-03-28,1288,2082,404,0,3697.08,3,Debit Card,A. Torres,1232.36
1369,2024-12-15,1041,2066,401,0,574.41,1,Apple Pay,K. Nguyen,574.41
1370,2025-06-19,1163,2025,405,1,2146.22,2,Debit Card,D. Williams,1073.11
1371,2024-11-07,1106,2071,405,2,1419.78,1,PayPal,M. Chen,1419.78
1373,2024-05-01,1099,2056,405,0,177.56,1,Credit Card,K. Nguyen,177.56
1374,2025-03-15,1075,2006,402,0,3731.14,2,Credit Card,M. Chen,1865.57
1375,2024-07-03,1021,2000,405,1,4310.12,4,Apple Pay,K. Nguyen,1077.53
1376,2024-09-27,1073,2063,403,0,3785.7,3,Debit Card,K. Nguyen,1261.8999999999999
1377,2024-01-11,1316,2078,404,4,2316.5,2,Cash,D. Williams,1158.25
1378,2024-04-18,1289,2029,405,0,3343.52,2,Debit Card,A. Torres,1671.76
1379,2024-03-25,1045,2008,404,3,4636.6,4,Apple Pay,A. Torres,1159.15
1381,2024-05-11,1039,2091,403,0,1671.45,4,Credit Card,M. Chen,417.8625
1382,2025-11-18,1051,2074,402,3,1371.58,1,Debit Card,A. Torres,1371.58
1383,2024-06-12,1042,2024,404,1,3593.22,3,Apple Pay,D. Williams,1197.74
1384,2024-11-07,1106,2073,402,3,1455.42,2,Cash,A. Torres,727.71
1385,2024-09-24,1053,2050,401,0,717.66,3,Debit Card,A. Torres,239.22
1386,2024-11-17,1009,2093,402,0,414.98,2,Apple Pay,J. Alvarez,207.49
1387,2025-07-07,1270,2018,403,4,3076.14,3,Cash,L. Martinez,1025.3799999999999
1388,2024-03-27,1062,2023,405,1,1827.97,1,PayPal,M. Chen,1827.97
1390,2024-09-28,1098,2026,405,0,5277.48,4,Apple Pay,L. Martinez,1319.37
1391,2025-10-28,1072,2046,405,4,595.74,3,Credit Card,M. Chen,198.58
1392,2024-12-11,1026,2055,403,1,668.97,3,Cash,K. Nguyen,222.99
1393,2024-07-18,1026,2058,405,1,138.26,1,Apple Pay,L. Martinez,138.26
1394,2024-05-14,1055,2022,403,0,4477.35,3,PayPal,S. Patel,1492.45
1395,2024-08-12,1154,2075,403,0,2931.63,3,Debit Card,R. Johnson,977.21
1396,2024-09-21,1022,2045,404,0,1180.84,4,PayPal,S. Patel,295.21
1397,2025-05-17,1270,2029,401,2,1671.76,1,Cash,J. Alvarez,1671.76
1398,2024-12-06,1053,2040,402,1,407.76,2,Cash,J. Alvarez,203.88
1399,2024-10-30,1035,2030,402,4,632.84,4,Cash,K. Nguyen,158.21
1400,2024-02-18,1000,2001,401,1,3121.16,2,Apple Pay,M. Chen,1560.58
1401,2025-09-06,1346,2030,402,3,316.42,2,PayPal,J. Alvarez,158.21
1402,2024-12-19,1051,2013,405,1,1409.63,1,Apple Pay,K. Nguyen,1409.63
1404,2025-09-23,1334,2071,403,0,6209.9,5,Credit Card,J. Alvarez,1241.98
1405,2024-01-31,1040,2065,405,0,3661.08,4,Credit Card,S. Patel,915.27
1406,2025-09-13,1028,2069,401,2,4666.11,4,Credit Card,K. Nguyen,1166.5275
1407,2024-07-05,1058,2061,401,2,2337.46,2,PayPal,S. Patel,1168.73
1408,2024-09-25,1033,2062,403,0,1160.89,2,Cash,J. Alvarez,580.445
1409,2025-08-31,1007,2020,402,0,2586.84,2,Debit Card,M. Chen,1293.42
1410,2025-09-02,1070,2045,404,0,885.63,3,PayPal,S. Patel,295.21
1411,2025-06-10,1114,2015,403,1,1449.16,1,Credit Card,D. Williams,1449.16
1412,2024-09-29,1000,2036,404,0,254.63,1,Debit Card,S. Patel,254.63
1414,2024-02-22,1071,2052,402,0,208.77,1,Credit Card,L. Martinez,208.77
1416,2024-05-02,1044,2027,401,3,3423.62,2,PayPal,L. Martinez,1711.81
1417,2024-12-31,1032,2004,404,4,1315.49,1,Apple Pay,A. Torres,1315.49
1418,2024-12-27,1049,2096,402,0,268.4,1,PayPal,L. Martinez,268.4
1419,2025-06-24,1154,2057,404,4,530.3,2,Apple Pay,A. Torres,265.15
1420,2024-06-08,1027,2012,401,0,1800.09,3,Credit Card,R. Johnson,600.03
1421,2025-11-23,1114,2000,403,0,1077.53,1,Apple Pay,J. Alvarez,1077.53
1422,2024-12-29,1154,2109,403,0,692.68,2,Credit Card,J. Alvarez,346.34
1423,2024-10-18,1082,2070,403,0,2430.3,2,Cash,A. Torres,1215.15
1424,2024-09-25,1252,2100,402,3,501.4,3,Debit Card,A. Torres,167.13333333333333
1425,2025-04-19,1046,2013,403,3,1409.63,1,Debit Card,J. Alvarez,1409.63
1426,2024-03-25,1072,2045,403,3,885.63,3,Debit Card,R. Johnson,295.21
1427,2024-07-05,1122,2043,404,0,307.74,3,Apple Pay,D. Williams,102.58
1428,2025-01-14,1066,2053,401,1,214.3,2,Debit Card,J. Alvarez,107.15
1429,2025-01-22,1048,2010,404,0,6594.52,4,Credit Card,R. Johnson,1648.63
1430,2024-03-05,1068,2016,405,0,2531.46,2,Debit Card,S. Patel,1265.73
1431,2024-10-10,1270,2111,404,0,436.04,2,Credit Card,S. Patel,218.02
1432,2025-06-26,1201,2020,403,0,1293.42,1,Apple Pay,D. Williams,1293.42
1433,2024-10-26,1201,2017,403,2,652.94,1,Debit Card,S. Patel,652.94
1434,2025-08-15,1201,2090,402,0,344.56,1,Apple Pay,L. Martinez,344.56
1435,2025-07-20,1026,2094,404,2,808.68,2,Debit Card,A. Torres,404.34
1436,2024-12-04,1035,2000,401,0,4310.12,4,Debit Card,R. Johnson,1077.53
1437,2024-09-28,1215,2061,404,4,3968.31,3,Cash,K. Nguyen,1322.77
1438,2024-05-01,1201,2043,401,3,205.16,2,Apple Pay,A. Torres,102.58
1439,2025-08-01,1174,2036,404,0,449.47,2,Apple Pay,D. Williams,224.735
1440,2024-09-25,1040,2028,401,0,1417.82,1,Cash,J. Alvarez,1417.82
1441,2025-04-26,1051,2045,404,0,295.21,1,Apple Pay,M. Chen,295.21
1442,2024-11-06,1040,2048,401,0,842.13,3,Apple Pay,D. Williams,280.71
1443,2025-11-02,1334,2087,402,4,2896.06,2,Cash,D. Williams,1448.03
1444,2025-09-13,1345,2005,402,0,3668.92,2,Debit Card,R. Johnson,1834.46
1445,2024-02-18,1072,2005,403,0,5503.38,3,PayPal,M. Chen,1834.46
1446,2025-10-14,1245,2021,401,3,4912.65,3,Debit Card,S. Patel,1637.55
1447,2024-12-18,1043,2050,402,2,956.88,4,Credit Card,K. Nguyen,239.22
1448,2024-07-01,1074,2113,404,0,563.57,2,Apple Pay,J. Alvarez,281.785
1449,2025-01-02,1050,2024,401,1,3593.22,3,Apple Pay,L. Martinez,1197.74
1450,2024-12-27,1181,2108,403,1,716.26,2,PayPal,R. Johnson,358.13
1451,2025-06-07,1155,2082,401,1,1143.22,1,PayPal,M. Chen,1143.22
1452,2025-07-01,1315,2107,402,1,163.67,1,Cash,S. Patel,163.67
1453,2025-10-05,1004,2063,402,0,3785.7,3,Debit Card,R. Johnson,1261.8999999999999
1454,2024-03-31,1270,2101,402,2,1435.44,4,Credit Card,J. Alvarez,358.86
1455,2025-01-28,1394,2004,403,2,3946.47,3,Debit Card,M. Chen,1315.49
1457,2024-11-16,1008,2008,402,0,1159.15,1,Apple Pay,L. Martinez,1159.15
1458,2025-11-17,1023,2057,404,4,572.32,2,PayPal,J. Alvarez,286.16
1459,2024-06-22,1049,2103,401,1,821.36,2,PayPal,K. Nguyen,410.68
1460,2025-03-25,1053,2080,404,0,816.26,1,Apple Pay,J. Alvarez,816.26
1461,2025-04-12,1042,2103,403,0,821.36,2,Apple Pay,R. Johnson,410.68
